time_s,mcu_tick_ms,adc,target,integral,error,kp,ki,output_x100,duty
0.0010008811950683594,5229102,2060,2048,401,-12,0.01,0.002,5068,51
0.07599735260009766,5229212,2052,2048,400,-4,0.01,0.002,5076,51
0.10799765586853027,5229322,2035,2048,402,13,0.01,0.002,5093,51
0.19899535179138184,5229432,2061,2048,400,-13,0.01,0.002,5067,51
0.4663968086242676,1,2153,2048,-10,-105,0.01,0.002,4893,49
0.5763957500457764,110,1960,2048,-1,88,0.01,0.002,5088,51
0.6854128837585449,219,2041,2048,0,7,0.01,0.002,5007,50
0.7944114208221436,328,2009,2048,2,39,0.01,0.002,5040,50
0.9030635356903076,437,2020,2048,5,28,0.01,0.002,5029,50
1.011657476425171,546,2016,2048,8,32,0.01,0.002,5034,50
1.1216552257537842,655,2018,2048,11,30,0.01,0.002,5032,50
1.2306530475616455,764,2018,2048,14,30,0.01,0.002,5033,50
1.339651346206665,873,2016,2048,18,32,0.01,0.002,5036,50
1.4481103420257568,982,2021,2048,20,27,0.01,0.002,5031,50
1.5571084022521973,1091,2017,2048,23,31,0.01,0.002,5036,50
1.6665058135986328,1200,2023,2048,26,25,0.01,0.002,5030,50
1.7754957675933838,1309,2017,2048,29,31,0.01,0.002,5037,50
1.884493350982666,1418,2039,2048,30,9,0.01,0.002,5015,50
1.9934914112091064,1527,2031,2048,32,17,0.01,0.002,5023,50
2.1024892330169678,1636,2032,2048,33,16,0.01,0.002,5023,50
2.2120723724365234,1745,2032,2048,35,16,0.01,0.002,5023,50
2.321070432662964,1854,2031,2048,37,17,0.01,0.002,5024,50
2.4303789138793945,1963,2031,2048,38,17,0.01,0.002,5025,50
2.5396533012390137,2072,2032,2048,40,16,0.01,0.002,5024,50
2.648651361465454,2181,2011,2048,44,37,0.01,0.002,5046,50
2.757159471511841,2290,2025,2048,46,23,0.01,0.002,5032,50
2.8661575317382812,2399,2015,2048,49,33,0.01,0.002,5043,50
2.9749624729156494,2508,2022,2048,52,26,0.01,0.002,5036,50
3.0839600563049316,2617,2016,2048,55,32,0.01,0.002,5043,50
3.1939587593078613,2726,2021,2048,58,27,0.01,0.002,5039,50
3.302734851837158,2835,2020,2048,60,28,0.01,0.002,5040,50
3.4112565517425537,2944,2024,2048,63,24,0.01,0.002,5037,50
3.521254539489746,3053,2022,2048,65,26,0.01,0.002,5039,50
3.629741668701172,3162,2021,2048,68,27,0.01,0.002,5041,50
3.7387731075286865,3271,2020,2048,71,28,0.01,0.002,5042,50
3.847689390182495,3380,2022,2048,74,26,0.01,0.002,5041,50
3.9569478034973145,3489,2021,2048,76,27,0.01,0.002,5042,50
