time_s,adc,target,integral,error,kp,ki,output_x100,duty
0.0,2053,2048,240,-5,0.01,0.002,5043,50
0.08509325981140137,2047,2048,240,1,0.01,0.002,5049,50
0.11009478569030762,2049,2048,240,-1,0.01,0.002,5047,50
0.13509321212768555,2051,2048,240,-3,0.01,0.002,5045,50
0.22259521484375,2051,2048,239,-3,0.01,0.002,5045,50
0.3305959701538086,2047,2048,239,1,0.01,0.002,5049,50
0.43863654136657715,2051,2048,239,-3,0.01,0.002,5045,50
0.5469751358032227,2044,2048,239,4,0.01,0.002,5052,51
0.6553795337677002,2049,2048,239,-1,0.01,0.002,5047,50
0.9428775310516357,2157,2048,-10,-109,0.01,0.002,4889,49
1.0503690242767334,1964,2048,-2,84,0.01,0.002,5084,51
1.1588280200958252,2039,2048,-1,9,0.01,0.002,5009,50
1.2668068408966064,2012,2048,2,36,0.01,0.002,5036,50
1.374298095703125,2040,2048,2,8,0.01,0.002,5009,50
1.4823997020721436,2029,2048,4,19,0.01,0.002,5020,50
1.590383529663086,2017,2048,7,31,0.01,0.002,5033,50
1.699125051498413,2021,2048,10,27,0.01,0.002,5029,50
1.8070969581604004,2037,2048,11,11,0.01,0.002,5013,50
1.9150967597961426,2009,2048,15,39,0.01,0.002,5042,50
2.0228137969970703,2025,2048,17,23,0.01,0.002,5027,50
2.131068706512451,2020,2048,20,28,0.01,0.002,5032,50
2.238776683807373,2018,2048,23,30,0.01,0.002,5035,50
2.346684217453003,2019,2048,26,29,0.01,0.002,5034,50
2.4549622535705566,2021,2048,29,27,0.01,0.002,5033,50
2.5629642009735107,2016,2048,32,32,0.01,0.002,5038,50
2.6710758209228516,2022,2048,34,26,0.01,0.002,5033,50
2.7792935371398926,2020,2048,37,28,0.01,0.002,5036,50
2.8872933387756348,2023,2048,40,25,0.01,0.002,5033,50
2.995293617248535,2018,2048,43,30,0.01,0.002,5039,50
3.1032955646514893,2024,2048,45,24,0.01,0.002,5033,50
3.211833953857422,2025,2048,47,23,0.01,0.002,5033,50
3.3195159435272217,2018,2048,50,30,0.01,0.002,5040,50
3.4277520179748535,2025,2048,53,23,0.01,0.002,5034,50
3.535205364227295,2021,2048,55,27,0.01,0.002,5038,50
3.6436173915863037,2024,2048,58,24,0.01,0.002,5036,50
3.7519116401672363,2028,2048,60,20,0.01,0.002,5032,50
3.859957695007324,2014,2048,63,34,0.01,0.002,5047,50
3.9681215286254883,2028,2048,65,20,0.01,0.002,5033,50
4.0757176876068115,2020,2048,68,28,0.01,0.002,5042,50
4.183996200561523,2042,2048,69,6,0.01,0.002,5020,50
4.291407585144043,2015,2048,72,33,0.01,0.002,5048,50
4.399562120437622,2028,2048,74,20,0.01,0.002,5035,50
4.507652044296265,2018,2048,77,30,0.01,0.002,5046,50
4.61578893661499,2027,2048,79,21,0.01,0.002,5037,50
4.72357964515686,2024,2048,82,24,0.01,0.002,5040,50
4.831579208374023,2023,2048,84,25,0.01,0.002,5042,50
4.939593076705933,2041,2048,85,7,0.01,0.002,5024,50
5.047593593597412,2018,2048,88,30,0.01,0.002,5048,50
5.156221151351929,2028,2048,90,20,0.01,0.002,5038,50
5.263855934143066,2024,2048,92,24,0.01,0.002,5043,50
5.371870279312134,2023,2048,95,25,0.01,0.002,5044,50
5.479899168014526,2039,2048,96,9,0.01,0.002,5028,50
5.588735103607178,2020,2048,98,28,0.01,0.002,5048,50
5.696334362030029,2027,2048,100,21,0.01,0.002,5041,50
5.80433464050293,2023,2048,103,25,0.01,0.002,5046,50
5.9124040603637695,2025,2048,105,23,0.01,0.002,5044,50
6.020404100418091,2022,2048,108,26,0.01,0.002,5048,50
6.128816843032837,2026,2048,110,22,0.01,0.002,5044,50
6.236837148666382,2023,2048,113,25,0.01,0.002,5048,50
6.344836950302124,2023,2048,115,25,0.01,0.002,5048,50
6.453023910522461,2027,2048,117,21,0.01,0.002,5045,50
6.560946941375732,2023,2048,120,25,0.01,0.002,5049,50
6.6682960987091064,2027,2048,122,21,0.01,0.002,5045,50
6.776296138763428,2025,2048,124,23,0.01,0.002,5048,50
6.88487696647644,2030,2048,126,18,0.01,0.002,5043,50
6.992941856384277,2021,2048,129,27,0.01,0.002,5053,51
7.1009416580200195,2026,2048,131,22,0.01,0.002,5048,50
7.209152698516846,2030,2048,133,18,0.01,0.002,5045,50
7.317152738571167,2021,2048,135,27,0.01,0.002,5054,51
7.425196886062622,2028,2048,137,20,0.01,0.002,5048,50
7.5331971645355225,2029,2048,139,19,0.01,0.002,5047,50
7.641196966171265,2028,2048,141,20,0.01,0.002,5048,50
7.749197721481323,2029,2048,143,19,0.01,0.002,5048,50
7.85713529586792,2026,2048,145,22,0.01,0.002,5051,51
7.965135335922241,2030,2048,147,18,0.01,0.002,5048,50
8.07313585281372,2027,2048,149,21,0.01,0.002,5051,51
8.181416034698486,2027,2048,151,21,0.01,0.002,5051,51
8.288800477981567,2028,2048,153,20,0.01,0.002,5051,51
8.396882772445679,2025,2048,156,23,0.01,0.002,5054,51
8.504875183105469,2030,2048,157,18,0.01,0.002,5050,50
8.612805604934692,2027,2048,159,21,0.01,0.002,5053,51
8.72096848487854,2028,2048,161,20,0.01,0.002,5052,51
8.828858137130737,2030,2048,163,18,0.01,0.002,5051,51
8.937198877334595,2026,2048,165,22,0.01,0.002,5055,51
9.04507851600647,2033,2048,167,15,0.01,0.002,5048,50
9.152992725372314,2026,2048,169,22,0.01,0.002,5056,51
9.261439800262451,2033,2048,171,15,0.01,0.002,5049,50
9.369439840316772,2027,2048,173,21,0.01,0.002,5056,51
9.477758169174194,2034,2048,174,14,0.01,0.002,5049,50
9.585427045822144,2028,2048,176,20,0.01,0.002,5055,51
9.693427324295044,2032,2048,178,16,0.01,0.002,5052,51
9.801266431808472,2026,2048,180,22,0.01,0.002,5058,51
9.909772396087646,2033,2048,181,15,0.01,0.002,5051,51
10.017512559890747,2027,2048,184,21,0.01,0.002,5058,51
10.12533164024353,2032,2048,185,16,0.01,0.002,5053,51
10.23383903503418,2029,2048,187,19,0.01,0.002,5057,51
10.341839790344238,2035,2048,188,13,0.01,0.002,5051,51
10.44983959197998,2028,2048,190,20,0.01,0.002,5058,51
10.557421922683716,2032,2048,192,16,0.01,0.002,5054,51
10.665489196777344,2028,2048,194,20,0.01,0.002,5059,51
10.773488283157349,2032,2048,196,16,0.01,0.002,5055,51
10.881524085998535,2030,2048,197,18,0.01,0.002,5058,51
10.99052357673645,2032,2400,234,368,0.01,0.002,5415,54
